GeneID	SB1	SB2	CB1	CB2	G1	G2	GBE1	GBE2	DC1	DC2
MDOA015531	4	7	6	3	5	3	8	3	6	4
MDOA010320	3	2	7	7	2	3	8	13	8	5
MDOA004903	2	10	4	7	8	2	16	3	2	9
MDOA013122	5	2	4	10	7	6	11	4	9	16
MDOA008727	11	11	3	13	2	8	4	3	15	9
MDOA000699	5	19	5	13	8	4	17	4	13	5
MDOA010544	2	4	14	3	10	6	17	2	33	6
MDOA007017	2	2	15	4	16	14	25	7	19	14
MDOA004047	21	29	7	29	7	3	11	2	9	3
MDOA013646	5	13	12	10	11	6	23	19	4	22
MDOA001249	3	13	3	13	12	27	10	27	8	13
MDOA007531	10	13	16	3	16	6	37	7	19	3
MDOA013091	6	7	5	10	3	10	13	9	46	30
MDOA008420	3	20	16	25	7	13	24	18	10	6
MDOA001580	3	4	9	12	11	14	30	34	15	19
MDOA008511	4	8	8	5	15	14	25	10	58	4
MDOA002879	6	9	25	32	11	19	9	5	35	8
MDOA003072	2	5	10	2	22	3	29	25	33	29
MDOA012531	3	21	20	11	19	12	41	10	18	8
MDOA015349	4	3	11	3	22	8	72	5	18	18
MDOA012285	45	22	30	6	17	11	10	14	4	10
MDOA013415	8	9	29	13	7	8	21	8	49	20
MDOA014464	3	2	28	3	34	14	33	8	41	8
MDOA005402	3	35	25	41	20	18	23	12	2	5
MDOA004346	3	11	25	6	3	2	4	45	42	49
MDOA014507	3	4	25	2	22	2	8	3	16	106
MDOA000686	12	16	4	5	14	17	85	14	10	15
MDOA001040	8	9	36	26	33	23	16	29	13	3
MDOA000677	7	48	24	51	12	4	3	3	45	3
MDOA011633	4	5	23	10	23	4	53	10	61	7
MDOA004443	18	24	47	11	18	3	7	6	44	23
MDOA012472	6	35	29	22	11	21	36	3	18	21
MDOA000435	6	4	16	7	12	7	19	20	74	38
MDOA002155	4	13	11	9	20	13	37	51	32	17
MDOA005714	3	11	5	4	12	5	38	10	72	47
MDOA001894	4	7	5	12	16	4	29	11	95	27
MDOA005504	13	39	76	7	10	13	21	3	13	15
MDOA008672	5	22	51	8	31	11	48	14	3	17
MDOA008576	3	3	83	4	53	5	50	6	6	7
MDOA009233	2	16	9	11	18	24	25	54	29	33
MDOA007398	56	13	14	7	39	8	34	5	42	6
MDOA007847	2	12	13	25	9	15	9	33	58	52
MDOA015569	4	12	19	11	42	19	36	32	47	6
MDOA015497	11	6	10	28	16	30	8	74	45	2
MDOA001504	3	9	24	4	55	26	65	16	14	15
MDOA003567	9	4	45	32	25	24	18	24	33	17
MDOA007748	2	10	19	22	25	40	30	26	46	14
MDOA012894	3	15	11	44	13	26	18	30	37	37
MDOA006428	3	68	27	51	2	23	6	20	15	22
MDOA014849	6	17	23	36	25	50	18	33	19	14
MDOA015296	7	12	15	27	8	28	20	4	51	69
MDOA014905	2	12	37	11	19	14	35	13	64	41
MDOA010004	6	42	19	8	10	2	7	3	104	50
MDOA013289	3	21	29	16	40	39	36	45	9	13
MDOA007736	2	6	6	19	42	19	65	21	47	25
MDOA000102	2	2	22	2	9	13	37	12	153	3
MDOA006216	4	27	28	22	17	6	15	14	74	49
MDOA015766	27	26	26	30	12	27	9	48	21	32
MDOA012321	4	10	17	2	57	14	36	17	67	36
MDOA001841	6	9	2	23	26	13	14	11	139	18
MDOA002805	7	48	13	55	26	32	40	5	34	4
MDOA004784	7	9	29	16	40	18	76	2	62	12
MDOA005328	3	10	59	19	38	18	81	19	16	8
MDOA015645	2	18	5	38	21	29	58	24	51	27
MDOA010599	6	71	11	38	54	27	23	21	15	9
MDOA014371	3	15	41	9	69	15	66	15	33	12
MDOA006427	2	2	18	2	28	27	93	6	68	33
MDOA010027	4	14	34	7	51	42	73	9	17	28
MDOA004737	4	21	73	8	68	15	37	39	16	5
MDOA014001	6	20	81	5	24	6	59	11	61	14
MDOA004677	2	52	25	28	22	14	47	27	52	19
MDOA010858	8	20	7	16	11	30	29	4	157	6
MDOA015698	62	5	49	12	47	15	62	4	21	20
MDOA000177	7	14	21	7	77	2	35	3	129	3
MDOA003435	6	20	95	8	38	28	4	34	55	10
MDOA004662	12	75	47	24	35	39	27	22	3	20
MDOA012248	2	27	27	44	13	21	26	62	6	82
MDOA005152	7	63	69	30	54	11	44	14	11	9
MDOA006178	3	5	18	15	72	36	76	39	16	34
MDOA013109	3	6	13	11	15	5	20	14	132	95
MDOA010474	21	33	21	28	19	6	23	11	119	34
MDOA008301	2	16	55	7	53	6	72	28	54	23
MDOA015714	7	30	46	44	24	33	52	18	46	16
MDOA006999	10	10	72	30	38	43	35	23	27	29
MDOA003610	2	6	3	3	13	7	42	93	127	23
MDOA006131	15	11	52	30	70	42	66	11	18	4
MDOA011749	88	134	8	26	3	3	6	3	26	25
MDOA015519	10	2	7	3	16	9	71	18	48	144
MDOA011683	4	4	20	8	12	8	18	13	96	149
MDOA014314	47	64	8	54	2	52	11	64	10	30
MDOA000079	2	23	39	32	42	57	31	62	40	17
MDOA009173	3	2	38	5	58	14	119	29	36	41
MDOA010774	4	3	97	21	49	51	30	8	60	22
MDOA005175	11	45	42	12	7	8	25	9	143	45
MDOA001869	28	45	59	36	68	7	85	10	5	5
MDOA015339	7	14	20	15	19	26	82	24	116	27
MDOA001870	20	94	14	30	29	15	21	67	29	32
MDOA013236	3	24	10	7	84	30	34	76	64	19
MDOA003604	2	5	12	18	32	66	68	105	31	15
MDOA014809	2	7	27	3	14	5	32	9	177	78
MDOA011280	10	72	14	79	4	24	8	64	38	46
MDOA008595	22	13	36	29	54	83	47	19	35	25
MDOA012734	4	33	27	15	6	5	16	11	190	58
MDOA003516	6	46	42	85	31	24	35	25	41	32
MDOA008716	4	20	33	7	35	10	91	32	86	60
MDOA010142	24	46	108	47	56	8	66	9	7	7
MDOA002654	5	59	14	33	74	36	91	26	40	9
MDOA008217	3	11	13	8	64	16	107	59	44	64
MDOA002963	2	8	51	28	73	34	125	34	28	8
MDOA013375	2	22	63	27	59	40	126	14	28	13
MDOA007719	11	43	27	17	58	37	81	74	42	13
MDOA010819	2	4	34	5	42	24	27	110	93	65
MDOA000191	2	79	10	65	3	66	3	95	34	55
MDOA006901	2	12	25	53	84	30	121	35	33	19
MDOA007610	5	24	34	4	47	37	83	34	137	13
MDOA003780	3	10	6	37	36	25	22	16	131	140
MDOA006919	2	7	8	7	47	60	38	52	180	25
MDOA015048	9	7	43	8	83	14	123	61	61	17
